Id,Name,Rating,Genre,Release_year,Imdb_score,release_date,votes,runtime,
201,The Amateur,R,Crime,1981,5.8,"February 12, 1982 ",782,112,
202,Longshot,TV-PG,Comedy,1981,5.1,1981 ,101,100,
203,Comin' at Ya!,R,Western,1981,5.1,"July 24, 1981 ",499,91,
204,Le Pont du Nord,Not Rated,Adventure,1981,6.9,"March 24, 1982 ",1100,129,
205,Silence of the North,PG,Drama,1981,6.3,"October 23, 1981 ",228,94,
206,Fast Times at Ridgemont High,R,Comedy,1982,7.2,"August 13, 1982 ",98000,90,
207,Blade Runner,R,Action,1982,8.1,"June 25, 1982 ",710000,117,
208,The Thing,R,Horror,1982,8.1,"June 25, 1982 ",382000,109,
209,Conan the Barbarian,R,Action,1982,6.9,"May 14, 1982 ",141000,129,
210,E.T. the Extra-Terrestrial,PG,Family,1982,7.8,"June 11, 1982 ",381000,115,
211,First Blood,R,Action,1982,7.7,"October 22, 1982 ",234000,93,
212,An Officer and a Gentleman,R,Drama,1982,7,"August 13, 1982 ",52000,124,
213,Grease 2,PG,Comedy,1982,4.4,"June 11, 1982 ",34000,115,
214,Annie,PG,Comedy,1982,6.6,"June 18, 1982 ",41000,127,
215,Poltergeist,PG,Horror,1982,7.3,"June 4, 1982 ",148000,114,
216,48 Hrs.,R,Action,1982,6.9,"December 8, 1982 ",73000,96,
217,Star Trek II: The Wrath of Khan,PG,Action,1982,7.7,"June 4, 1982 ",115000,113,
218,Paradise,R,Adventure,1982,4.9,"May 7, 1982 ",2500,100,
219,The Last American Virgin,R,Comedy,1982,6.3,"July 30, 1982 ",8100,92,
220,Sophie's Choice,R,Drama,1982,7.6,"March 4, 1983 ",44000,150,
221,Gandhi,PG,Biography,1982,8,"February 25, 1983 ",220000,191,
222,Tootsie,PG,Comedy,1982,7.4,"December 17, 1982 ",100000,116,
223,Tron,PG,Action,1982,6.8,"July 9, 1982 ",115000,96,
224,The Secret of NIMH,G,Animation,1982,7.6,"July 16, 1982 ",37000,82,
