Id,Name,Rating,Genre,Release_year,Imdb_score,release_date,votes,runtime,
6141,LOL,PG-13,Comedy,2012,4.4,"March 1, 2012 ",54000,97,
6142,Gone,PG-13,Action,2012,5.9,"February 24, 2012 ",43000,94,
6143,The First Time,PG-13,Comedy,2012,6.8,"February 7, 2013 ",68000,95,
6144,Ice Age: Continental Drift,PG,Animation,2012,6.5,"July 13, 2012 ",197000,88,
6145,V/H/S,R,Horror,2012,5.8,"September 6, 2012 ",58000,116,
6146,No One Lives,R,Horror,2012,6,"May 10, 2013 ",20000,86,
6147,Mirror Mirror,PG,Adventure,2012,5.6,"March 30, 2012 ",85000,106,
6148,About Cherry,R,Drama,2012,4.8,"August 9, 2012 ",10000,98,
6149,Hitchcock,PG-13,Biography,2012,6.8,"December 14, 2012 ",73000,98,
6150,The Lords of Salem,R,Horror,2012,5.2,"April 18, 2013 ",28000,101,
6151,Step Up Revolution,PG-13,Drama,2012,6.4,"July 27, 2012 ",55000,99,
6152,Ruby Sparks,R,Comedy,2012,7.2,"September 6, 2012 ",97000,104,
6153,Stuck in Love.,R,Comedy,2012,7.2,"May 2, 2013 ",85000,97,
6154,The Paperboy,R,Crime,2012,5.8,"October 17, 2012 ",37000,107,
6155,The Possession,PG-13,Horror,2012,5.9,"August 31, 2012 ",58000,92,
6156,Silent Hill: Revelation,R,Action,2012,5,"October 26, 2012 ",61000,95,
6157,Safe,R,Action,2012,6.5,"April 27, 2012 ",106000,94,
6158,The Brass Teapot,R,Comedy,2012,6.4,"April 15, 2013 ",15000,101,
6159,Alex Cross,PG-13,Action,2012,5.2,"October 19, 2012 ",33000,101,
6160,Amour,PG-13,Drama,2012,7.9,"September 20, 2012 ",95000,127,
6161,What to Expect When You're Expecting,PG-13,Comedy,2012,5.7,"May 18, 2012 ",71000,110,
6162,Trouble with the Curve,PG-13,Drama,2012,6.8,"September 21, 2012 ",61000,111,
6163,Here Comes the Boom,PG,Action,2012,6.4,"October 12, 2012 ",87000,105,
6164,The Collection,R,Horror,2012,6.1,"November 30, 2012 ",47000,82,
6165,John Dies at the End,R,Comedy,2012,6.4,"December 27, 2012 ",37000,99,
6166,To Rome with Love,R,Comedy,2012,6.3,"July 6, 2012 ",86000,112,
6167,The Giant Mechanical Man,PG-13,Comedy,2012,6.7,"April 27, 2012 ",9800,94,
6168,ParaNorman,PG,Animation,2012,7,"August 17, 2012 ",96000,92,
6169,Contraband,R,Action,2012,6.4,"January 13, 2012 ",119000,109,
6170,Red Lights,R,Drama,2012,6.2,"March 2, 2012 ",59000,114,
6171,Arbitrage,R,Drama,2012,6.6,"September 14, 2012 ",51000,107,
6172,The Man with the Iron Fists,R,Action,2012,5.4,"November 2, 2012 ",61000,95,
6173,Cosmopolis,R,Crime,2012,5.1,"May 25, 2012 ",45000,109,
6174,The Campaign,R,Comedy,2012,6.1,"August 10, 2012 ",126000,85,
6175,Frankenweenie,PG,Animation,2012,6.9,"October 5, 2012 ",101000,87,
6176,A Royal Affair,R,Biography,2012,7.5,"March 29, 2012 ",45000,137,
6177,The Guilt Trip,PG-13,Comedy,2012,5.7,"December 19, 2012 ",36000,95,
6178,Stand Up Guys,R,Comedy,2012,6.5,"February 1, 2013 ",54000,95,
6179,Deadfall,R,Crime,2012,6.3,"November 9, 2012 ",39000,95,
6180,The Bay,R,Horror,2012,5.7,"November 21, 2012 ",26000,84,
6181,The Words,PG-13,Drama,2012,7,"September 7, 2012 ",76000,102,
6182,The Broken Circle Breakdown,Not Rated,Drama,2012,7.7,"October 10, 2012 ",40000,111,
6183,Thanks for Sharing,R,Comedy,2012,6.4,"September 14, 2013 ",27000,112,
6184,Starlet,Not Rated,Drama,2012,6.9,"May 9, 2013 ",7200,103,
6185,The Angels' Share,R,Comedy,2012,7,"June 1, 2012 ",24000,101,
6186,Universal Soldier: Day of Reckoning,R,Action,2012,5,"October 25, 2012 ",20000,114,
6187,Promised Land,R,Drama,2012,6.6,"January 4, 2013 ",37000,106,
6188,Beasts of the Southern Wild,PG-13,Adventure,2012,7.3,"July 5, 2012 ",82000,93,
6189,Red Tails,PG-13,Action,2012,5.9,"January 20, 2012 ",34000,125,
6190,In the House,R,Drama,2012,7.4,"October 10, 2012 ",31000,105,
6191,The Cold Light of Day,PG-13,Action,2012,4.9,"September 7, 2012 ",36000,93,
6192,The Apparition,PG-13,Horror,2012,4.1,"August 24, 2012 ",19000,82,
6193,To the Wonder,R,Drama,2012,5.9,"February 22, 2013 ",28000,112,
6194,Lockout,PG-13,Action,2012,6.1,"April 13, 2012 ",96000,95,
6195,Chasing Mavericks,PG,Biography,2012,7.1,"October 26, 2012 ",31000,116,
6196,One for the Money,PG-13,Action,2012,5.3,"January 27, 2012 ",41000,,
6197,Bachelorette,R,Comedy,2012,5.3,"September 6, 2012 ",46000,87,
6198,Lay the Favorite,R,Comedy,2012,4.8,"June 22, 2012 ",11000,94,
6199,Kahaani,Not Rated,Mystery,2012,8.1,"March 9, 2012 ",59000,122,
6200,Parental Guidance,PG,Comedy,2012,6,"December 25, 2012 ",25000,105,
6201,The Raven,R,Crime,2012,6.4,"April 27, 2012 ",83000,110,
6202,Liberal Arts,PG-13,Comedy,2012,6.7,"October 5, 2012 ",37000,97,
6203,Stolen,R,Action,2012,5.5,"September 6, 2012 ",44000,96,
6204,Kon-Tiki,PG-13,Adventure,2012,7.2,"April 26, 2013 ",47000,118,
6205,Paranormal Activity 4,R,Horror,2012,4.6,"October 19, 2012 ",63000,88,
6206,Quartet,PG-13,Comedy,2012,6.8,"March 1, 2013 ",19000,98,
6207,28 Hotel Rooms,Not Rated,Drama,2012,5.8,"November 9, 2012 ",3200,82,
6208,Playing for Keeps,PG-13,Comedy,2012,5.7,"December 7, 2012 ",29000,105,
6209,Upside Down,PG-13,Drama,2012,6.4,"May 1, 2013 ",70000,109,
6210,Great Expectations,PG-13,Drama,2012,6.4,"November 8, 2013 ",13000,128,
6211,The Odd Life of Timothy Green,PG,Comedy,2012,6.6,"August 15, 2012 ",46000,105,
6212,Premium Rush,PG-13,Action,2012,6.5,"August 24, 2012 ",111000,91,
6213,Not Fade Away,R,Drama,2012,6,"July 19, 2013 ",4400,112,
6214,Disconnect,R,Drama,2012,7.5,"July 5, 2013 ",74000,115,
6215,Sightseers,Not Rated,Adventure,2012,6.5,"May 10, 2013 ",27000,88,
6216,The Pirates! Band of Misfits,PG,Animation,2012,6.7,"April 27, 2012 ",46000,88,
6217,Chernobyl Diaries,R,Horror,2012,5,"May 25, 2012 ",65000,86,
6218,Celeste & Jesse Forever,R,Comedy,2012,6.6,"August 3, 2012 ",30000,92,
6219,Talaash,Not Rated,Crime,2012,7.2,"November 30, 2012 ",40000,140,
6220,Hope Springs,PG-13,Comedy,2012,6.3,"August 8, 2012 ",42000,100,
6221,People Like Us,PG-13,Comedy,2012,7.1,"June 29, 2012 ",42000,114,
6222,The ABCs of Death,Not Rated,Comedy,2012,4.7,"April 26, 2013 ",18000,129,
6223,Into the White,R,Action,2012,7.2,"April 12, 2013 ",20000,104,
6224,The Sweeney,R,Action,2012,6.1,"March 1, 2013 ",19000,112,
6225,Vamps,PG-13,Comedy,2012,5.2,"November 2, 2012 ",9700,92,
6226,Barfi!,Not Rated,Comedy,2012,8.1,"September 14, 2012 ",78000,151,
6227,Bel Ami,R,Crime,2012,5.4,"March 9, 2012 ",18000,102,
6228,Unfinished Song,PG-13,Comedy,2012,7,"February 22, 2013 ",7400,90,
6229,A Thousand Words,PG-13,Comedy,2012,5.9,"March 9, 2012 ",41000,91,
6230,Like Someone in Love,Not Rated,Drama,2012,7,"September 15, 2012 ",11000,109,
6231,Escape from Planet Earth,PG,Animation,2012,5.9,"February 15, 2013 ",25000,89,
6232,The Reluctant Fundamentalist,R,Drama,2012,6.9,"May 17, 2013 ",14000,130,
6233,Much Ado About Nothing,PG-13,Comedy,2012,7.1,"June 14, 2013 ",16000,109,
6234,Ginger & Rosa,PG-13,Drama,2012,6.3,"October 19, 2012 ",11000,90,
6235,"For a Good Time, Call...",R,Comedy,2012,6,"November 2, 2012 ",16000,85,
6236,Big Miracle,PG,Biography,2012,6.5,"February 3, 2012 ",19000,107,
6237,What Maisie Knew,R,Drama,2012,7.4,"May 3, 2013 ",27000,99,
6238,The Devil Inside,R,Horror,2012,4.2,"January 6, 2012 ",35000,83,
6239,Cocktail,Not Rated,Comedy,2012,6.3,"July 13, 2012 ",14000,146,
6240,Fun Size,PG-13,Adventure,2012,5.4,"October 26, 2012 ",14000,86,
6241,"Farewell, My Queen",R,Drama,2012,6.2,"March 21, 2012 ",8200,100,
6242,The Magic of Belle Isle,PG,Comedy,2012,7,"July 6, 2012 ",18000,109,
6243,Robot & Frank,PG-13,Comedy,2012,7.1,"September 19, 2012 ",63000,89,
6244,The Wolf of Wall Street,R,Biography,2013,8.2,"December 25, 2013 ",1200000,180,
6245,Iron Man 3,PG-13,Action,2013,7.1,"May 3, 2013 ",779000,130,
6246,The Conjuring,R,Horror,2013,7.5,"July 19, 2013 ",464000,112,
6247,Prisoners,R,Crime,2013,8.1,"September 20, 2013 ",625000,153,
6248,Thor: The Dark World,PG-13,Action,2013,6.8,"November 8, 2013 ",618000,112,
6249,The Purge,R,Horror,2013,5.7,"June 7, 2013 ",209000,85,
6250,Grown Ups 2,PG-13,Comedy,2013,5.4,"July 12, 2013 ",144000,101,
6251,Fast & Furious 6,PG-13,Action,2013,7,"May 24, 2013 ",377000,130,
6252,Gravity,PG-13,Drama,2013,7.7,"October 4, 2013 ",784000,91,
6253,About Time,R,Comedy,2013,7.8,"November 8, 2013 ",317000,123,
6254,The Hobbit: The Desolation of Smaug,PG-13,Adventure,2013,7.8,"December 13, 2013 ",615000,161,
6255,Man of Steel,PG-13,Action,2013,7,"June 14, 2013 ",721000,143,
6256,Under the Skin,R,Drama,2013,6.3,"March 14, 2014 ",134000,108,
6257,Blue Is the Warmest Colour,NC-17,Drama,2013,7.7,"October 9, 2013 ",142000,180,
6258,Only Lovers Left Alive,R,Comedy,2013,7.3,"December 25, 2013 ",94000,123,
6259,Her,R,Drama,2013,8,"January 10, 2014 ",559000,126,
6260,Snowpiercer,R,Action,2013,7.1,"July 11, 2014 ",335000,126,
6261,We're the Millers,R,Comedy,2013,7,"August 7, 2013 ",415000,110,
6262,Kick-Ass 2,R,Action,2013,6.5,"August 16, 2013 ",259000,103,
6263,Frozen,PG,Animation,2013,7.4,"November 27, 2013 ",585000,102,
6264,The Great Gatsby,PG-13,Drama,2013,7.2,"May 10, 2013 ",494000,143,
6265,American Hustle,R,Crime,2013,7.2,"December 20, 2013 ",458000,138,
6266,The Green Inferno,R,Adventure,2013,5.3,"September 25, 2015 ",41000,100,
6267,Rush,R,Action,2013,8.1,"September 27, 2013 ",446000,123,
6268,Monsters University,G,Animation,2013,7.2,"June 21, 2013 ",332000,104,
6269,Don Jon,R,Comedy,2013,6.5,"September 27, 2013 ",232000,90,
6270,Now You See Me,PG-13,Crime,2013,7.2,"May 31, 2013 ",612000,115,
6271,Oblivion,PG-13,Action,2013,7,"April 19, 2013 ",495000,124,
6272,Identity Thief,R,Comedy,2013,5.7,"February 8, 2013 ",128000,111,
6273,Nymphomaniac: Vol. I,Not Rated,Drama,2013,6.9,"March 6, 2014 ",119000,117,
6274,Star Trek Into Darkness,PG-13,Action,2013,7.7,"May 16, 2013 ",468000,132,
6275,The Hunger Games: Catching Fire,PG-13,Action,2013,7.5,"November 22, 2013 ",626000,146,
6276,Homefront,R,Action,2013,6.5,"November 27, 2013 ",113000,100,
6277,Movie 43,R,Comedy,2013,4.3,"January 25, 2013 ",101000,94,
6278,World War Z,PG-13,Action,2013,7,"June 21, 2013 ",618000,116,
6279,12 Years a Slave,R,Biography,2013,8.1,"November 8, 2013 ",657000,134,
6280,G.I. Joe: Retaliation,PG-13,Action,2013,5.8,"March 28, 2013 ",176000,110,
6281,Dallas Buyers Club,R,Biography,2013,8,"November 22, 2013 ",455000,117,
6282,The Secret Life of Walter Mitty,PG,Adventure,2013,7.3,"December 25, 2013 ",300000,114,
6283,Pacific Rim,PG-13,Action,2013,6.9,"July 12, 2013 ",475000,131,
6284,The Croods,PG,Animation,2013,7.2,"March 22, 2013 ",199000,98,
6285,This Is the End,R,Comedy,2013,6.6,"June 12, 2013 ",391000,107,
6286,The Way Way Back,PG-13,Comedy,2013,7.4,"July 26, 2013 ",143000,103,
6287,The Internship,PG-13,Comedy,2013,6.3,"June 7, 2013 ",193000,119,
6288,Elysium,R,Action,2013,6.6,"August 9, 2013 ",426000,109,
6289,Hansel & Gretel: Witch Hunters,R,Action,2013,6.1,"January 25, 2013 ",198000,88,
6290,Captain Phillips,PG-13,Adventure,2013,7.8,"October 11, 2013 ",432000,134,
6291,Evil Dead,R,Horror,2013,6.5,"April 5, 2013 ",160000,91,
6292,White House Down,PG-13,Action,2013,6.3,"June 28, 2013 ",211000,131,
6293,Enemy,R,Drama,2013,6.9,"February 6, 2014 ",175000,91,
6294,Olympus Has Fallen,R,Action,2013,6.5,"March 22, 2013 ",263000,119,
6295,Lone Survivor,R,Action,2013,7.5,"January 10, 2014 ",272000,121,
6296,Oz the Great and Powerful,PG,Adventure,2013,6.3,"March 8, 2013 ",201000,130,
6297,Pain & Gain,R,Action,2013,6.4,"April 26, 2013 ",205000,129,
6298,Oldboy,R,Action,2013,5.7,"November 27, 2013 ",71000,104,
6299,Out of the Furnace,R,Action,2013,6.8,"December 6, 2013 ",110000,116,
6300,Coherence,Not Rated,Drama,2013,7.2,"August 6, 2014 ",115000,89,
6301,Ender's Game,PG-13,Action,2013,6.6,"November 1, 2013 ",228000,114,
6302,Anchorman 2: the Legend Continues,PG-13,Comedy,2013,6.3,"December 18, 2013 ",172000,119,
6303,The World's End,R,Comedy,2013,7,"August 23, 2013 ",266000,109,
6304,Stoker,R,Drama,2013,6.8,"March 1, 2013 ",105000,99,
6305,The Mortal Instruments: City of Bones,PG-13,Action,2013,5.9,"August 21, 2013 ",129000,130,
6306,Mama,PG-13,Fantasy,2013,6.2,"January 18, 2013 ",172000,100,
6307,Riddick,R,Action,2013,6.4,"September 6, 2013 ",157000,119,
6308,A Good Day to Die Hard,R,Action,2013,5.3,"February 14, 2013 ",201000,98,
6309,Escape Plan,R,Action,2013,6.7,"October 18, 2013 ",232000,115,
6310,The Wolverine,PG-13,Action,2013,6.7,"July 26, 2013 ",439000,126,
6311,Texas Chainsaw,R,Horror,2013,4.8,"January 4, 2013 ",47000,92,
6312,Despicable Me 2,PG,Animation,2013,7.3,"July 3, 2013 ",377000,98,
6313,47 Ronin,PG-13,Action,2013,6.3,"December 25, 2013 ",152000,128,
6314,Adore,R,Drama,2013,6.2,"April 3, 2013 ",33000,112,
6315,Machete Kills,R,Action,2013,5.6,"October 11, 2013 ",76000,107,
6316,Warm Bodies,PG-13,Comedy,2013,6.8,"February 1, 2013 ",223000,98,
6317,Percy Jackson: Sea of Monsters,PG,Adventure,2013,5.8,"August 7, 2013 ",113000,106,
6318,Blue Jasmine,PG-13,Comedy,2013,7.3,"August 23, 2013 ",195000,98,
6319,Nymphomaniac: Vol. II,Not Rated,Drama,2013,6.7,"March 20, 2014 ",88000,124,
6320,Safe Haven,PG-13,Drama,2013,6.7,"February 14, 2013 ",106000,115,
6321,Gangster Squad,R,Action,2013,6.7,"January 11, 2013 ",209000,113,
6322,August: Osage County,R,Comedy,2013,7.2,"January 10, 2014 ",87000,121,
6323,Locke,R,Drama,2013,7.1,"April 18, 2014 ",140000,85,
6324,Before Midnight,R,Drama,2013,7.9,"June 14, 2013 ",146000,109,
6325,Young & Beautiful,Not Rated,Drama,2013,6.7,"April 25, 2014 ",33000,95,
6326,Begin Again,R,Comedy,2013,7.4,"July 11, 2014 ",147000,104,
6327,Oculus,R,Horror,2013,6.5,"April 11, 2014 ",120000,104,
6328,Big Bad Wolves,Not Rated,Drama,2013,6.8,"August 15, 2013 ",16000,110,
6329,The Counselor,R,Crime,2013,5.3,"October 25, 2013 ",98000,117,
6330,Parker,R,Action,2013,6.2,"January 25, 2013 ",118000,118,
6331,The Call,R,Crime,2013,6.7,"March 15, 2013 ",115000,94,
6332,Scary Movie V,PG-13,Comedy,2013,3.5,"April 12, 2013 ",67000,86,
6333,R.I.P.D.,PG-13,Action,2013,5.6,"July 19, 2013 ",123000,96,
6334,Inside Llewyn Davis,R,Comedy,2013,7.5,"January 10, 2014 ",144000,104,
6335,The To Do List,R,Comedy,2013,5.8,"July 26, 2013 ",38000,104,
6336,Carrie,R,Drama,2013,5.9,"October 18, 2013 ",135000,100,
6337,The Lone Ranger,PG-13,Action,2013,6.4,"July 3, 2013 ",225000,150,
6338,The Host,PG-13,Action,2013,5.9,"March 29, 2013 ",112000,125,
6339,Turbo,PG,Animation,2013,6.4,"July 17, 2013 ",88000,96,
6340,What If,PG-13,Comedy,2013,6.8,"August 15, 2014 ",73000,98,
6341,2 Guns,R,Action,2013,6.7,"August 2, 2013 ",201000,109,
6342,Enough Said,PG-13,Comedy,2013,7,"October 11, 2013 ",60000,93,
6343,Side Effects,R,Crime,2013,7.1,"February 8, 2013 ",183000,106,
6344,The Heat,R,Action,2013,6.6,"June 28, 2013 ",165000,117,
6345,Insidious: Chapter 2,PG-13,Horror,2013,6.6,"September 13, 2013 ",160000,106,
6346,Redemption,R,Action,2013,6.2,"June 28, 2013 ",68000,100,
6347,Belle,PG,Biography,2013,7.3,"June 13, 2014 ",29000,100,
6348,Horns,R,Comedy,2013,6.5,"October 3, 2014 ",80000,120,
6349,After Earth,PG-13,Action,2013,4.8,"May 31, 2013 ",194000,100,
6350,Lee Daniels' The Butler,PG-13,Biography,2013,7.2,"August 16, 2013 ",111000,132,
6351,Only God Forgives,R,Action,2013,5.7,"May 22, 2013 ",109000,90,
6352,RED 2,PG-13,Action,2013,6.6,"July 19, 2013 ",163000,116,
6353,Blood Ties,R,Action,2013,6.5,"October 30, 2013 ",19000,127,
6354,The Great Beauty,Not Rated,Drama,2013,7.8,"March 14, 2014 ",83000,141,
6355,Dead Man Down,R,Action,2013,6.5,"March 8, 2013 ",65000,118,
6356,The Spectacular Now,R,Comedy,2013,7.1,"September 13, 2013 ",147000,95,
6357,42,PG-13,Biography,2013,7.5,"April 12, 2013 ",89000,128,
6358,The Best Offer,R,Crime,2013,7.8,"January 1, 2014 ",112000,131,
6359,The Last Stand,R,Action,2013,6.3,"January 18, 2013 ",135000,107,
6360,Filth,R,Comedy,2013,7.1,"April 24, 2014 ",104000,97,
6361,The Grand Seduction,PG-13,Comedy,2013,7,"May 30, 2014 ",16000,113,
6362,I Spit on Your Grave 2,R,Horror,2013,5.7,"September 5, 2013 ",28000,106,
6363,Short Term 12,R,Drama,2013,8,"August 23, 2013 ",84000,96,
6364,Saving Mr. Banks,PG-13,Biography,2013,7.5,"December 20, 2013 ",155000,125,
6365,The Book Thief,PG-13,Drama,2013,7.5,"November 27, 2013 ",130000,131,
6366,The Hangover Part III,R,Comedy,2013,5.8,"May 23, 2013 ",299000,100,
6367,Lovelace,R,Biography,2013,6.2,"August 8, 2013 ",39000,93,
6368,The Bling Ring,R,Biography,2013,5.6,"June 21, 2013 ",85000,90,
6369,The Family,R,Comedy,2013,6.3,"September 13, 2013 ",113000,111,
6370,The Wind Rises,PG-13,Animation,2013,7.8,"February 21, 2014 ",77000,126,
6371,Life of Crime,R,Comedy,2013,5.8,"August 29, 2014 ",18000,98,
6372,Beautiful Creatures,PG-13,Drama,2013,6.1,"February 14, 2013 ",85000,124,
6373,Joe,R,Crime,2013,6.9,"April 11, 2014 ",46000,117,
6374,Delivery Man,PG-13,Comedy,2013,6.4,"November 22, 2013 ",76000,105,
6375,Afternoon Delight,R,Comedy,2013,5.7,"September 15, 2013 ",10000,98,
6376,Grudge Match,PG-13,Comedy,2013,6.4,"December 25, 2013 ",59000,113,
6377,Planes,PG,Animation,2013,5.7,"August 9, 2013 ",43000,91,
6378,Cloudy with a Chance of Meatballs 2,PG,Animation,2013,6.4,"September 27, 2013 ",94000,95,
6379,Jack the Giant Slayer,PG-13,Adventure,2013,6.2,"March 1, 2013 ",134000,114,
6380,Blue Ruin,R,Crime,2013,7.1,"July 9, 2014 ",69000,90,
6381,Epic,PG,Animation,2013,6.7,"May 24, 2013 ",101000,102,
6382,Dark Skies,PG-13,Horror,2013,6.3,"February 22, 2013 ",73000,97,
6383,Nebraska,R,Adventure,2013,7.7,"January 24, 2014 ",114000,115,
6384,The Kings of Summer,R,Adventure,2013,7.1,"August 23, 2013 ",79000,95,
6385,Bhaag Milkha Bhaag,Not Rated,Biography,2013,8.2,"July 12, 2013 ",63000,186,
6386,Labor Day,PG-13,Drama,2013,6.9,"January 31, 2014 ",44000,111,
6387,Trance,R,Crime,2013,6.9,"March 27, 2013 ",111000,101,
6388,Broken City,R,Action,2013,6.2,"January 18, 2013 ",78000,109,
6389,The Zero Theorem,R,Comedy,2013,6.1,"August 19, 2014 ",46000,107,
6390,All Is Lost,PG-13,Action,2013,6.9,"October 25, 2013 ",78000,106,
6391,Anna,R,Drama,2013,6.5,"January 24, 2014 ",22000,99,
6392,Third Person,R,Drama,2013,6.3,"November 14, 2014 ",27000,137,
6393,One Chance,PG-13,Biography,2013,6.8,"October 25, 2013 ",12000,103,
6394,The Grandmaster,PG-13,Action,2013,6.6,"August 30, 2013 ",32000,130,
6395,The Incredible Burt Wonderstone,PG-13,Comedy,2013,5.9,"March 15, 2013 ",71000,100,
6396,Austenland,PG-13,Comedy,2013,6.3,"September 27, 2013 ",20000,97,
6397,The Big Wedding,R,Comedy,2013,5.6,"April 26, 2013 ",48000,89,
6398,Kill Your Darlings,R,Biography,2013,6.5,"September 19, 2013 ",36000,104,
6399,Snitch,PG-13,Action,2013,6.4,"February 22, 2013 ",85000,112,
6400,The Smurfs 2,PG,Animation,2013,5.3,"July 31, 2013 ",39000,105,
6401,Last Vegas,PG-13,Comedy,2013,6.6,"November 1, 2013 ",130000,105,
6402,Fruitvale Station,R,Biography,2013,7.5,"July 26, 2013 ",78000,85,
6403,Palo Alto,R,Drama,2013,6.2,"May 9, 2014 ",28000,100,
6404,Bad Grandpa,R,Comedy,2013,6.5,"October 25, 2013 ",90000,92,
6405,Philomena,PG-13,Biography,2013,7.6,"November 27, 2013 ",96000,98,
6406,The Canyons,R,Drama,2013,3.8,"August 2, 2013 ",11000,99,
6407,Jobs,PG-13,Biography,2013,6,"August 16, 2013 ",95000,128,
6408,Europa Report,PG-13,Action,2013,6.4,"June 27, 2013 ",68000,90,
6409,The Immigrant,R,Drama,2013,6.6,"May 23, 2014 ",31000,120,
6410,I Give It a Year,R,Comedy,2013,5.7,"February 8, 2013 ",36000,97,
6411,Starred Up,Not Rated,Crime,2013,7.4,"August 26, 2014 ",44000,106,
6412,21 & Over,R,Comedy,2013,5.8,"March 1, 2013 ",73000,93,
6413,The Inevitable Defeat of Mister & Pete,R,Drama,2013,7.5,"January 25, 2013 ",5300,108,
6414,Romeo and Juliet,PG-13,Drama,2013,5.8,2013 ,11000,118,
6415,Runner Runner,R,Crime,2013,5.6,"October 4, 2013 ",61000,88,
6416,A Haunted House,R,Comedy,2013,5,"January 11, 2013 ",45000,86,
6417,The Tale of The Princess Kaguya,PG,Animation,2013,8,"November 23, 2013 ",41000,137,
6418,The Double,R,Comedy,2013,6.5,"April 4, 2014 ",48000,93,
6419,Yeh Jawaani Hai Deewani,Not Rated,Drama,2013,7.2,"May 31, 2013 ",40000,160,
6420,How I Live Now,R,Action,2013,6.5,"October 4, 2013 ",29000,101,
6421,Upstream Color,Not Rated,Drama,2013,6.7,"August 30, 2013 ",32000,96,
6422,Parkland,PG-13,Drama,2013,6.4,"October 2, 2013 ",15000,93,
6423,A Field in England,Not Rated,Drama,2013,6.3,"July 5, 2013 ",12000,90,
6424,In Secret,R,Crime,2013,6.1,"April 3, 2014 ",8000,107,
6425,Paranoia,PG-13,Drama,2013,5.7,"August 16, 2013 ",36000,106,
6426,The Past,PG-13,Drama,2013,7.7,"May 17, 2013 ",46000,130,
6427,Breathe In,R,Drama,2013,6.4,"July 19, 2013 ",14000,98,
6428,V/H/S/2,R,Horror,2013,6,"June 6, 2013 ",37000,96,
6429,Knights of Badassdom,R,Action,2013,5.6,"April 11, 2014 ",20000,86,
6430,The Congress,Not Rated,Animation,2013,6.5,"July 24, 2014 ",18000,122,
6431,The Fifth Estate,R,Biography,2013,6.2,"October 18, 2013 ",40000,128,
6432,Ida,PG-13,Drama,2013,7.4,"October 25, 2013 ",55000,82,
6433,The Love Punch,PG-13,Comedy,2013,5.8,"May 23, 2014 ",14000,94,
6434,Tracks,PG-13,Adventure,2013,7.2,"March 6, 2014 ",29000,112,
6435,Bad Words,R,Comedy,2013,6.6,"March 28, 2014 ",48000,89,
6436,In a World...,R,Comedy,2013,6.7,"September 13, 2013 ",31000,93,
6437,Ain't Them Bodies Saints,R,Crime,2013,6.4,"August 16, 2013 ",21000,96,
6438,Man of Tai Chi,R,Action,2013,6.1,"July 5, 2013 ",36000,105,
6439,The East,PG-13,Crime,2013,6.8,"June 28, 2013 ",49000,116,
6440,The Lunchbox,PG,Drama,2013,7.8,"September 20, 2013 ",52000,104,
6441,New World,Not Rated,Action,2013,7.6,"February 21, 2013 ",21000,135,
6442,Charlie Countryman,R,Action,2013,6.4,"September 13, 2013 ",28000,103,
6443,Getaway,PG-13,Action,2013,4.4,"August 30, 2013 ",23000,90,
6444,Guardians of the Galaxy,PG-13,Action,2014,8,"August 1, 2014 ",1100000,121,
6445,Interstellar,PG-13,Adventure,2014,8.6,"November 7, 2014 ",1600000,169,
6446,John Wick,R,Action,2014,7.4,"October 24, 2014 ",565000,101,
6447,Edge of Tomorrow,PG-13,Action,2014,7.9,"June 6, 2014 ",620000,113,
6448,Gone Girl,R,Drama,2014,8.1,"October 3, 2014 ",893000,149,
6449,Captain America: The Winter Soldier,PG-13,Action,2014,7.7,"April 4, 2014 ",764000,136,
6450,The Grand Budapest Hotel,R,Adventure,2014,8.1,"March 28, 2014 ",734000,99,
6451,Whiplash,R,Drama,2014,8.5,"October 15, 2014 ",749000,106,
6452,Kingsman: The Secret Service,R,Action,2014,7.7,"February 13, 2015 ",607000,129,
6453,Ex Machina,R,Drama,2014,7.7,"April 24, 2015 ",493000,108,
6454,Divergent,PG-13,Action,2014,6.6,"March 21, 2014 ",435000,139,
6455,Nightcrawler,R,Crime,2014,7.8,"October 31, 2014 ",486000,117,
6456,The Hobbit: The Battle of the Five Armies,PG-13,Adventure,2014,7.4,"December 17, 2014 ",487000,144,
6457,The Equalizer,R,Action,2014,7.2,"September 26, 2014 ",344000,132,
6458,The Maze Runner,PG-13,Action,2014,6.8,"September 19, 2014 ",431000,113,
6459,Lucy,R,Action,2014,6.4,"July 25, 2014 ",460000,89,
6460,Chef,R,Adventure,2014,7.3,"May 30, 2014 ",202000,114,
6461,What We Do in the Shadows,R,Comedy,2014,7.7,"February 13, 2015 ",164000,86,
6462,The Imitation Game,PG-13,Biography,2014,8,"December 25, 2014 ",707000,114,
6463,Fury,R,Action,2014,7.6,"October 17, 2014 ",442000,134,
6464,X-Men: Days of Future Past,PG-13,Action,2014,7.9,"May 23, 2014 ",673000,132,
6465,Predestination,R,Action,2014,7.5,"January 9, 2015 ",262000,97,
6466,The Purge: Anarchy,R,Action,2014,6.4,"July 18, 2014 ",143000,103,
6467,Birdman or (The Unexpected Virtue of Ignorance),R,Comedy,2014,7.7,"November 14, 2014 ",594000,119,
6468,It Follows,R,Horror,2014,6.8,"March 13, 2015 ",217000,100,
6469,Blended,PG-13,Comedy,2014,6.5,"May 23, 2014 ",124000,117,
6470,Hercules,PG-13,Action,2014,6,"July 25, 2014 ",149000,98,
6471,The Judge,R,Crime,2014,7.4,"October 10, 2014 ",183000,141,
