Id,Director,writer,actor,crew
6271,Joseph Kosinski,Karl Gajdusek,Tom Cruise,36
6272,Seth Gordon,Craig Mazin,Jason Bateman,72
6273,Lars von Trier,Lars von Trier,Charlotte Gainsbourg,53
6274,J.J. Abrams,Roberto Orci,Chris Pine,60
6275,Francis Lawrence,Simon Beaufoy,Jennifer Lawrence,57
6276,Gary Fleder,Sylvester Stallone,Jason Statham,33
6277,Directors,Rocky Russo,Emma Stone,56
6278,Marc Forster,Matthew Michael Carnahan,Brad Pitt,141
6279,Steve McQueen,John Ridley,Chiwetel Ejiofor,139
6280,Jon M. Chu,Rhett Reese,Dwayne Johnson,96
6281,Jean-Marc Vallée,Craig Borten,Matthew McConaughey,103
6282,Ben Stiller,Steve Conrad,Ben Stiller,112
6283,Guillermo del Toro,Travis Beacham,Idris Elba,120
6284,Kirk DeMicco,Chris Sanders,Nicolas Cage,103
6285,Evan Goldberg,Seth Rogen,James Franco,87
6286,Nat Faxon,Nat Faxon,Steve Carell,134
6287,Shawn Levy,Vince Vaughn,Vince Vaughn,131
6288,Neill Blomkamp,Neill Blomkamp,Matt Damon,138
6289,Tommy Wirkola,Tommy Wirkola,Jeremy Renner,35
6290,Paul Greengrass,Billy Ray,Tom Hanks,93
6291,Fede Alvarez,Fede Alvarez,Jane Levy,28
6292,Roland Emmerich,James Vanderbilt,Channing Tatum,44
6293,Denis Villeneuve,José Saramago,Jake Gyllenhaal,97
6294,Antoine Fuqua,Creighton Rothenberger,Gerard Butler,17
6295,Peter Berg,Peter Berg,Mark Wahlberg,130
6296,Sam Raimi,Mitchell Kapner,James Franco,90
6297,Michael Bay,Christopher Markus,Mark Wahlberg,110
6298,Spike Lee,Garon Tsuchiya,Josh Brolin,26
6299,Scott Cooper,Brad Ingelsby,Christian Bale,108
6300,James Ward Byrkit,James Ward Byrkit,Emily Baldoni,81
6301,Gavin Hood,Gavin Hood,Harrison Ford,65
6302,Adam McKay,Will Ferrell,Will Ferrell,70
6303,Edgar Wright,Simon Pegg,Simon Pegg,115
6304,Park Chan-Wook,Wentworth Miller,Mia Wasikowska,149
6305,Harald Zwart,Jessica Postigo,Lily Collins,32
6306,Andy Muschietti,Andy Muschietti,Jessica Chastain,66
6307,David Twohy,David Twohy,Vin Diesel,96
6308,John Moore,Skip Woods,Bruce Willis,142
6309,Mikael Håfström,Miles Chapman,Sylvester Stallone,45
6310,James Mangold,Mark Bomback,Hugh Jackman,100
6311,John Luessenhop,Adam Marcus,Alexandra Daddario,93
6312,Pierre Coffin,Cinco Paul,Steve Carell,113
6313,Carl Rinsch,Chris Morgan,Keanu Reeves,96
6314,Anne Fontaine,Anne Fontaine,Naomi Watts,138
6315,Robert Rodriguez,Kyle Ward,Danny Trejo,47
6316,Jonathan Levine,Isaac Marion,Nicholas Hoult,81
6317,Thor Freudenthal,Marc Guggenheim,Logan Lerman,57
6318,Woody Allen,Woody Allen,Cate Blanchett,93
6319,Lars von Trier,Lars von Trier,Charlotte Gainsbourg,18
6320,Lasse Hallström,Dana Stevens,Julianne Hough,127
6321,Ruben Fleischer,Will Beall,Sean Penn,41
6322,John Wells,Tracy Letts,Meryl Streep,98
6323,Steven Knight,Steven Knight,Tom Hardy,81
6324,Richard Linklater,Richard Linklater,Ethan Hawke,89
6325,François Ozon,François Ozon,Marine Vacth,20
6326,John Carney,John Carney,Keira Knightley,69
6327,Mike Flanagan,Mike Flanagan,Karen Gillan,34
6328,Aharon Keshales,Aharon Keshales,Lior Ashkenazi,138
6329,Ridley Scott,Cormac McCarthy,Michael Fassbender,101
6330,Taylor Hackford,John J. McLaughlin,Jason Statham,125
6331,Brad Anderson,Richard D'Ovidio,Halle Berry,64
6332,Malcolm D. Lee,David Zucker,Simon Rex,38
6333,Robert Schwentke,Phil Hay,Ryan Reynolds,56
6334,Ethan Coen,Joel Coen,Oscar Isaac,91
6335,Maggie Carey,Maggie Carey,Aubrey Plaza,64
6336,Kimberly Peirce,Lawrence D. Cohen,Chloë Grace Moretz,119
6337,Gore Verbinski,Justin Haythe,Johnny Depp,23
6338,Andrew Niccol,Andrew Niccol,Saoirse Ronan,131
6339,David Soren,Darren Lemke,Ryan Reynolds,83
6340,Michael Dowse,Elan Mastai,Daniel Radcliffe,123
6341,Baltasar Kormákur,Blake Masters,Denzel Washington,20
6342,Nicole Holofcener,Nicole Holofcener,Julia Louis-Dreyfus,20
6343,Steven Soderbergh,Scott Z. Burns,Rooney Mara,93
6344,Paul Feig,Katie Dippold,Sandra Bullock,61
6345,James Wan,Leigh Whannell,Patrick Wilson,75
6346,Steven Knight,Steven Knight,Jason Statham,131
6347,Amma Asante,Misan Sagay,Gugu Mbatha-Raw,28
6348,Alexandre Aja,Keith Bunin,Daniel Radcliffe,114
6349,M. Night Shyamalan,Gary Whitta,Jaden Smith,106
6350,Lee Daniels,Danny Strong,Forest Whitaker,25
6351,Nicolas Winding Refn,Nicolas Winding Refn,Ryan Gosling,31
6352,Dean Parisot,Jon Hoeber,Bruce Willis,105
6353,Guillaume Canet,Guillaume Canet,Clive Owen,85
6354,Paolo Sorrentino,Paolo Sorrentino,Toni Servillo,109
6355,Niels Arden Oplev,J.H. Wyman,Colin Farrell,105
6356,James Ponsoldt,Scott Neustadter,Miles Teller,23
6357,Brian Helgeland,Brian Helgeland,Chadwick Boseman,103
6358,Giuseppe Tornatore,Giuseppe Tornatore,Geoffrey Rush,79
6359,Jee-woon Kim,Andrew Knauer,Arnold Schwarzenegger,109
6360,Jon S. Baird,Jon S. Baird,James McAvoy,90
6361,Don McKellar,Ken Scott,Taylor Kitsch,95
6362,Steven R. Monroe,Neil Elman,Jemma Dallender,76
6363,Destin Daniel Cretton,Destin Daniel Cretton,Brie Larson,15
6364,John Lee Hancock,Kelly Marcel,Emma Thompson,146
6365,Brian Percival,Markus Zusak,Sophie Nélisse,45
6366,Todd Phillips,Todd Phillips,Bradley Cooper,135
6367,Rob Epstein,Andy Bellin,Amanda Seyfried,145
6368,Sofia Coppola,Sofia Coppola,Katie Chang,46
6369,Luc Besson,Luc Besson,Robert De Niro,112
6370,Hayao Miyazaki,Hayao Miyazaki,Hideaki Anno,141
6371,Daniel Schechter,Daniel Schechter,Jennifer Aniston,83
6372,Richard LaGravenese,Richard LaGravenese,Alice Englert,110
6373,David Gordon Green,Gary Hawkins,Nicolas Cage,111
6374,Ken Scott,Ken Scott,Vince Vaughn,136
6375,Joey Soloway,Joey Soloway,Kathryn Hahn,138
6376,Peter Segal,Tim Kelleher,Robert De Niro,38
6377,Klay Hall,John Lasseter,Carlos Alazraqui,148
6378,Cody Cameron,Erica Rivinoja,Bill Hader,120
6379,Bryan Singer,Darren Lemke,Nicholas Hoult,57
6380,Jeremy Saulnier,Jeremy Saulnier,Macon Blair,146
6381,Chris Wedge,James V. Hart,Amanda Seyfried,117
6382,Scott Stewart,Scott Stewart,Keri Russell,122
6383,Alexander Payne,Bob Nelson,Bruce Dern,84
6384,Jordan Vogt-Roberts,Chris Galletta,Nick Robinson,61
6385,Rakeysh Omprakash Mehra,Prasoon Joshi,Farhan Akhtar,22
6386,Jason Reitman,Jason Reitman,Kate Winslet,130
6387,Danny Boyle,Joe Ahearne,James McAvoy,51
6388,Allen Hughes,Brian Tucker,Mark Wahlberg,30
6389,Terry Gilliam,Pat Rushin,Christoph Waltz,56
6390,J.C. Chandor,J.C. Chandor,Robert Redford,57
6391,Jorge Dorado,Guy Holmes,Mark Strong,135
6392,Paul Haggis,Paul Haggis,Liam Neeson,138
6393,David Frankel,Justin Zackham,James Corden,56
6394,Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung,116
6395,Don Scardino,Jonathan Goldstein,Steve Carell,27
6396,Jerusha Hess,Jerusha Hess,Keri Russell,31
6397,Justin Zackham,Justin Zackham,Robert De Niro,56
6398,John Krokidas,Austin Bunn,Daniel Radcliffe,69
6399,Ric Roman Waugh,Justin Haythe,Dwayne Johnson,56
6400,Raja Gosnell,J. David Stem,Neil Patrick Harris,54
6401,Jon Turteltaub,Dan Fogelman,Robert De Niro,16
6402,Ryan Coogler,Ryan Coogler,Michael B. Jordan,105
6403,Gia Coppola,Gia Coppola,Emma Roberts,139
6404,Jeff Tremaine,Johnny Knoxville,Johnny Knoxville,30
6405,Stephen Frears,Steve Coogan,Judi Dench,99
6406,Paul Schrader,Bret Easton Ellis,Lindsay Lohan,95
6407,Joshua Michael Stern,Matt Whiteley,Ashton Kutcher,99
6408,Sebastián Cordero,Philip Gelatt,Sharlto Copley,54
6409,James Gray,James Gray,Marion Cotillard,127
6410,Dan Mazer,Dan Mazer,Rose Byrne,82
6411,David Mackenzie,Jonathan Asser,Jack O'Connell,100
6412,Jon Lucas,Jon Lucas,Miles Teller,112
6413,George Tillman Jr.,Michael Starrbury,Skylan Brooks,79
6414,Carlo Carlei,Arthur Brooke,Hailee Steinfeld,18
6415,Brad Furman,Brian Koppelman,Ben Affleck,81
6416,Michael Tiddes,Marlon Wayans,Marlon Wayans,116
6417,Isao Takahata,Isao Takahata,Chloë Grace Moretz,131
6418,Richard Ayoade,Fyodor Dostoevsky,Jesse Eisenberg,16
6419,Ayan Mukherjee,Hussain Dalal,Ranbir Kapoor,51
6420,Kevin Macdonald,Meg Rosoff,Saoirse Ronan,77
6421,Shane Carruth,Shane Carruth,Amy Seimetz,53
6422,Peter Landesman,Peter Landesman,Zac Efron,62
6423,Ben Wheatley,Amy Jump,Julian Barratt,33
6424,Charlie Stratton,Émile Zola,Elizabeth Olsen,122
6425,Robert Luketic,Jason Hall,Liam Hemsworth,101
6426,Asghar Farhadi,Asghar Farhadi,Bérénice Bejo,22
6427,Drake Doremus,Drake Doremus,Felicity Jones,29
6428,Directors,Simon Barrett,Lawrence Michael Levine,145
6429,Joe Lynch,Kevin Dreyfuss,Ryan Kwanten,125
6430,Ari Folman,Stanislaw Lem,Robin Wright,122
6431,Bill Condon,Daniel Domscheit-Berg,Benedict Cumberbatch,87
6432,Pawel Pawlikowski,Pawel Pawlikowski,Agata Kulesza,54
6433,Joel Hopkins,Joel Hopkins,Pierce Brosnan,70
6434,John Curran,Marion Nelson,Mia Wasikowska,26
6435,Jason Bateman,Andrew Dodge,Jason Bateman,54
6436,Lake Bell,Lake Bell,Lake Bell,138
6437,David Lowery,David Lowery,Rooney Mara,59
6438,Keanu Reeves,Michael G. Cooney,Tiger Hu Chen,131
6439,Zal Batmanglij,Zal Batmanglij,Brit Marling,34
6440,Ritesh Batra,Ritesh Batra,Irrfan Khan,83
6441,Park Hoon-jung,Park Hoon-jung,Jung-jae Lee,69
6442,Fredrik Bond,Matt Drake,Shia LaBeouf,141
6443,Courtney Solomon,Sean Finegan,Ethan Hawke,126
6444,James Gunn,James Gunn,Chris Pratt,60
6445,Christopher Nolan,Jonathan Nolan,Matthew McConaughey,84
6446,Chad Stahelski,Derek Kolstad,Keanu Reeves,68
6447,Doug Liman,Christopher McQuarrie,Tom Cruise,41
6448,David Fincher,Gillian Flynn,Ben Affleck,38
6449,Anthony Russo,Christopher Markus,Chris Evans,30
6450,Wes Anderson,Stefan Zweig,Ralph Fiennes,99
6451,Damien Chazelle,Damien Chazelle,Miles Teller,114
6452,Matthew Vaughn,Jane Goldman,Colin Firth,41
6453,Alex Garland,Alex Garland,Alicia Vikander,135
6454,Neil Burger,Evan Daugherty,Shailene Woodley,130
6455,Dan Gilroy,Dan Gilroy,Jake Gyllenhaal,123
6456,Peter Jackson,Fran Walsh,Ian McKellen,97
6457,Antoine Fuqua,Richard Wenk,Denzel Washington,107
6458,Wes Ball,Noah Oppenheim,Dylan O'Brien,63
6459,Luc Besson,Luc Besson,Scarlett Johansson,62
6460,Jon Favreau,Jon Favreau,Jon Favreau,72
6461,Jemaine Clement,Jemaine Clement,Jemaine Clement,90
6462,Morten Tyldum,Graham Moore,Benedict Cumberbatch,28
6463,David Ayer,David Ayer,Brad Pitt,89
6464,Bryan Singer,Simon Kinberg,Patrick Stewart,40
6465,Michael Spierig,Michael Spierig,Ethan Hawke,108
6466,James DeMonaco,James DeMonaco,Frank Grillo,34
6467,Alejandro G. Iñárritu,Alejandro G. Iñárritu,Michael Keaton,132
6468,David Robert Mitchell,David Robert Mitchell,Maika Monroe,76
6469,Frank Coraci,Ivan Menchell,Adam Sandler,66
6470,Brett Ratner,Ryan J. Condal,Dwayne Johnson,97
6471,David Dobkin,Nick Schenk,Robert Downey Jr.,38
6472,Will Gluck,Will Gluck,Quvenzhané Wallis,126
6473,Gareth Edwards,Ishirô Honda,Aaron Taylor-Johnson,133
6474,Phillip Noyce,Michael Mitnick,Brenton Thwaites,139
6475,Noam Murro,Zack Snyder,Sullivan Stapleton,125
6476,Clint Eastwood,Jason Hall,Bradley Cooper,21
6477,Christian Ditter,Juliette Towhidi,Lily Collins,41
6478,Don Hall,Jordan Roberts,Ryan Potter,133
6479,Marc Webb,Alex Kurtzman,Andrew Garfield,141
6480,Robert Stromberg,Linda Woolverton,Angelina Jolie,84
6481,Rob Marshall,James Lapine,Anna Kendrick,75
6482,Angelina Jolie,Joel Coen,Jack O'Connell,21
6483,Christopher Miller,Phil Lord,Chris Pratt,117
6484,Francis Lawrence,Peter Craig,Jennifer Lawrence,37
6485,Kevin Smith,Kevin Smith,Justin Long,55
6486,Shawn Levy,David Guion,Ben Stiller,131
6487,Josh Boone,Scott Neustadter,Shailene Woodley,30
6488,John Erick Dowdle,John Erick Dowdle,Perdita Weeks,65
6489,John R. Leonetti,Gary Dauberman,Ward Horton,46
6490,Richard Linklater,Richard Linklater,Ellar Coltrane,49
6491,James Marsh,Anthony McCarten,Eddie Redmayne,118
6492,Patrick Hughes,Sylvester Stallone,Sylvester Stallone,22
6493,Evan Goldberg,Dan Sterling,James Franco,89
6494,Michaël R. Roskam,Dennis Lehane,Tom Hardy,112
6495,Michael Bay,Ehren Kruger,Mark Wahlberg,104
6496,Paul Thomas Anderson,Paul Thomas Anderson,Joaquin Phoenix,108
6497,Nicholas Stoller,Andrew Jay Cohen,Seth Rogen,42
6498,Jennifer Kent,Jennifer Kent,Essie Davis,119
6499,Jake Kasdan,Kate Angelo,Jason Segel,124
6500,Nick Cassavetes,Melissa K. Stack,Cameron Diaz,129
6501,Damián Szifron,Germán Servidio,Darío Grandinetti,148
6502,Jean-Marc Vallée,Nick Hornby,Reese Witherspoon,71
6503,Bennett Miller,E. Max Frye,Steve Carell,82
6504,Adam Wingard,Simon Barrett,Dan Stevens,32
6505,Jonathan Liebesman,Josh Appelbaum,Megan Fox,17
6506,José Padilha,Joshua Zetumer,Joel Kinnaman,86
6507,Phil Lord,Michael Bacall,Channing Tatum,147
6508,Matt Reeves,Mark Bomback,Gary Oldman,32
6509,Frank Miller,Frank Miller,Mickey Rourke,42
6510,Camille Delamarre,Luc Besson,Paul Walker,78
6511,Mark Waters,Richelle Mead,Zoey Deutch,109
6512,George Clooney,George Clooney,George Clooney,38
6513,Leigh Janiak,Phil Graziadei,Rose Leslie,150
6514,Bobby Farrelly,Sean Anders,Jim Carrey,149
6515,Chris Evans,Ronald Bass,Chris Evans,39
6516,Dean DeBlois,Dean DeBlois,Jay Baruchel,70
6517,Darren Aronofsky,Darren Aronofsky,Russell Crowe,144
6518,Scott Frank,Lawrence Block,Liam Neeson,147
6519,Scott Waugh,George Gatins,Aaron Paul,58
6520,Carlos Saldanha,Don Rhymer,Jesse Eisenberg,65
6521,Sergei Bodrov,Charles Leavitt,Ben Barnes,92
6522,Ridley Scott,Adam Cooper,Christian Bale,130
6523,Seth MacFarlane,Seth MacFarlane,Seth MacFarlane,111
6524,David Ayer,Skip Woods,Arnold Schwarzenegger,113
6525,Paul King,Paul King,Hugh Bonneville,66
6526,Jaume Collet-Serra,John W. Richardson,Liam Neeson,131
6527,Michael Hoffman,Nicholas Sparks,James Marsden,150
6528,Sean Anders,Sean Anders,Jason Bateman,92
6529,Shawn Levy,Jonathan Tropper,Jason Bateman,145
6530,Steven Quale,John Swetnam,Richard Armitage,143
6531,Eric Darnell,Michael Colton,Tom McGrath,128
6532,Kenneth Branagh,Adam Cozad,Chris Pine,27
6533,Xavier Dolan,Xavier Dolan,Anne Dorval,82
6534,James Kent,Vera Brittain,Alicia Vikander,22
6535,Jonathan Milott,Leigh Whannell,Elijah Wood,48
6536,Jorge R. Gutiérrez,Jorge R. Gutiérrez,Diego Luna,104
6537,Severin Fiala,Veronika Franz,Lukas Schwarz,147
6538,Roger Donaldson,Michael Finch,Pierce Brosnan,109
6539,Gary Shore,Matt Sazama,Luke Evans,97
6540,Levan Gabriadze,Nelson Greaves,Heather Sossaman,147
6541,Mike Cahill,Mike Cahill,Michael Pitt,125
6542,Wally Pfister,Jack Paglen,Johnny Depp,93
6543,Shana Feste,Shana Feste,Gabriella Wilde,53
6544,Courteney Cox,David Flebotte,Seann William Scott,78
6545,Rowan Joffe,Rowan Joffe,Nicole Kidman,110
6546,Philippe Falardeau,Margaret Nagle,Reese Witherspoon,25
6547,Scott Derrickson,Scott Derrickson,Eric Bana,84
6548,Gareth Evans,Gareth Evans,Iko Uwais,102
6549,Olivier Megaton,Luc Besson,Liam Neeson,73
6550,Paul W.S. Anderson,Janet Scott Batchler,Kit Harington,92
6551,Kriv Stenders,James McFarland,Simon Pegg,117
6552,Tim Story,Greg Coolidge,Ice Cube,70
6553,Tom Gormican,Tom Gormican,Zac Efron,138
6554,Tommy Lee Jones,Tommy Lee Jones,Tommy Lee Jones,149
6555,Kevin Macdonald,Dennis Kelly,Jude Law,54
6556,Jason Reitman,Chad Kultgen,Kaitlyn Dever,16
6557,Luke Greenfield,Luke Greenfield,Jake Johnson,134
6558,J.C. Chandor,J.C. Chandor,Oscar Isaac,42
6559,Rajkumar Hirani,Rajkumar Hirani,Aamir Khan,72
6560,Alan Rickman,Jeremy Brock,Kate Winslet,58
6561,Erik Van Looy,Bart De Pauw,Karl Urban,76
6562,Anton Corbijn,Andrew Bovell,Philip Seymour Hoffman,91
6563,Jon Watts,Christopher Ford,Andy Powers,128
6564,William Eubank,Carlyle Eubank,Brenton Thwaites,99
6565,Lasse Hallström,Steven Knight,Helen Mirren,58
6566,Gina Prince-Bythewood,Gina Prince-Bythewood,Gugu Mbatha-Raw,102
6567,David Cronenberg,Bruce Wagner,Julianne Moore,95
6568,R.J. Cutler,Shauna Cross,Chloë Grace Moretz,21
6569,Peter Bogdanovich,Louise Stratten,Imogen Poots,29
6570,Yann Demange,Gregory Burke,Jack O'Connell,50
6571,Richard Glatzer,Richard Glatzer,Julianne Moore,69
6572,McG,Adi Hasak,Kevin Costner,104
6573,Justin Benson,Justin Benson,Lou Taylor Pucci,93
6574,Bill Pohlad,Oren Moverman,John Cusack,26
6575,Tim Burton,Scott Alexander,Amy Adams,115
6576,Bille Woodruff,Christina Welsh,Sharon Leal,19
6577,Russell Crowe,Andrew Knight,Russell Crowe,82
6578,Ava DuVernay,Paul Webb,David Oyelowo,109
6579,Rob Thomas,Rob Thomas,Kristen Bell,115
6580,Craig Gillespie,Tom McCarthy,Jon Hamm,97
6581,Charlie McDowell,Justin Lader,Mark Duplass,120
6582,Clint Eastwood,Marshall Brickman,John Lloyd Young,59
6583,Steven Brill,Steven Brill,Elizabeth Banks,140
6584,Ivan Reitman,Scott Rothman,Kevin Costner,43
6585,Rob Reiner,Mark Andrus,Michael Douglas,39
6586,Michael Tiddes,Marlon Wayans,Marlon Wayans,45
6587,Rupert Wyatt,William Monahan,Mark Wahlberg,105
6588,Daniel Barnz,Patrick Tobin,Jennifer Aniston,40
6589,Stuart Beattie,Stuart Beattie,Aaron Eckhart,63
6590,James Bobin,James Bobin,Ricky Gervais,98
6591,Max Nichols,Mark Hammer,Miles Teller,138
6592,Julius Avery,Julius Avery,Ewan McGregor,77
6593,Edward Zwick,Steven Knight,Tobey Maguire,34
6594,Vic Armstrong,Paul Lalonde,Nicolas Cage,125
6595,Miguel Arteta,Rob Lieber,Steve Carell,46
6596,Theodore Melfi,Theodore Melfi,Bill Murray,56
6597,Renny Harlin,Sean Hood,Kellan Lutz,25
6598,Michael Cuesta,Peter Landesman,Jeremy Renner,131
6599,Trish Sie,Duane Adler,Ryan Guzman,96
6600,Kristian Levring,Anders Thomas Jensen,Mads Mikkelsen,56
6601,Harold Cronk,Hunter Dennis,Shane Harper,101
6602,Akiva Goldsman,Akiva Goldsman,Colin Farrell,53
6603,James Simone,Joan G. Robinson,Sara Takatsuki,69
6604,Rob Minkoff,Jay Ward,Ty Burrell,21
6605,Ben Falcone,Melissa McCarthy,Melissa McCarthy,115
6606,Jalmari Helander,Jalmari Helander,Samuel L. Jackson,106
6607,Pascal Chaumeil,Nick Hornby,Pierce Brosnan,19
6608,David Michôd,David Michôd,Guy Pearce,33
6609,Ruben Östlund,Ruben Östlund,Johannes Kuhnke,26
6610,Jean-Pierre Dardenne,Jean-Pierre Dardenne,Marion Cotillard,125
6611,Ryan Gosling,Ryan Gosling,Christina Hendricks,118
6612,Woody Allen,Woody Allen,Colin Firth,19
6613,Tomm Moore,Will Collins,David Rawle,73
6614,Peter Chelsom,Maria von Heland,Simon Pegg,24
6615,John Pogue,Craig Rosenberg,Jared Harris,60
6616,Jordan Rubin,Al Kaplan,Rachel Melvin,117
6617,Andrew Fleming,Stephen Zotnowski,Evan Rachel Wood,60
6618,Sam Miller,Aimee Lagos,Taraji P. Henson,35
6619,Andrey Zvyagintsev,Oleg Negin,Aleksey Serebryakov,26
6620,Susanne Bier,Christopher Kyle,Bradley Cooper,43
6621,Peter Strickland,Peter Strickland,Sidse Babett Knudsen,24
6622,Richard Laxton,Emma Thompson,Dakota Fanning,54
6623,Zach Braff,Adam J. Braff,Zach Braff,41
6624,Lenny Abrahamson,Jon Ronson,Michael Fassbender,44
6625,Tate Taylor,Jez Butterworth,Chadwick Boseman,143
6626,Sarah Gavron,Abi Morgan,Carey Mulligan,61
6627,Stiles White,Juliet Snowden,Olivia Cooke,35
6628,Randall Wallace,Randall Wallace,Greg Kinnear,122
6629,Noah Baumbach,Noah Baumbach,Ben Stiller,139
6630,Nuri Bilge Ceylan,Ebru Ceylan,Haluk Bilginer,106
6631,Gregg Araki,Gregg Araki,Shailene Woodley,26
6632,Justin Simien,Justin Simien,Tyler James Williams,36
6633,John Michael McDonagh,John Michael McDonagh,Brendan Gleeson,48
6634,Tim Story,Keith Merryman,Kevin Hart,29
6635,Benny Safdie,Arielle Holmes,Arielle Holmes,141
6636,Daniel Barber,Julia Hart,Brit Marling,19
6637,Roberts Gannaway,Roberts Gannaway,Dane Cook,76
6638,Chris Rock,Chris Rock,Chris Rock,72
6639,Ramin Bahrani,Ramin Bahrani,Andrew Garfield,81
6640,Mike Binder,Mike Binder,Kevin Costner,114
6641,Olivier Assayas,Olivier Assayas,Juliette Binoche,57
6642,Adriana Trigiani,Adriana Trigiani,Ashley Judd,27
6643,Lynn Shelton,Andrea Seigel,Keira Knightley,138
6644,George Miller,George Miller,Tom Hardy,86
6645,Joss Whedon,Joss Whedon,Robert Downey Jr.,43
6646,Guillermo del Toro,Guillermo del Toro,Mia Wasikowska,144
6647,James Wan,Chris Morgan,Vin Diesel,81
6648,Quentin Tarantino,Quentin Tarantino,Samuel L. Jackson,69
6649,Peyton Reed,Edgar Wright,Paul Rudd,84
6650,Sam Taylor-Johnson,Kelly Marcel,Dakota Johnson,138
6651,Denis Villeneuve,Taylor Sheridan,Emily Blunt,138
6652,Robert Eggers,Robert Eggers,Anya Taylor-Joy,83
6653,Adam McKay,Charles Randolph,Christian Bale,41
6654,Colin Trevorrow,Rick Jaffa,Chris Pratt,149
6655,Alejandro G. Iñárritu,Mark L. Smith,Leonardo DiCaprio,34
6656,Ridley Scott,Drew Goddard,Matt Damon,110
6657,Lenny Abrahamson,Emma Donoghue,Brie Larson,35
6658,Pete Docter,Pete Docter,Amy Poehler,59
6659,Tom McCarthy,Josh Singer,Mark Ruffalo,103
6660,Nima Nourizadeh,Max Landis,Jesse Eisenberg,43
6661,Guy Ritchie,Guy Ritchie,Henry Cavill,51
6662,Alan Taylor,Laeta Kalogridis,Arnold Schwarzenegger,98
6663,Kenneth Branagh,Chris Weitz,Lily James,113
6664,J.J. Abrams,Lawrence Kasdan,Daisy Ridley,46
6665,Yorgos Lanthimos,Yorgos Lanthimos,Colin Farrell,100
6666,Sam Mendes,John Logan,Daniel Craig,76
6667,Ben Wheatley,Amy Jump,Tom Hiddleston,105
6668,Brian Helgeland,Brian Helgeland,Tom Hardy,104
6669,Neill Blomkamp,Neill Blomkamp,Sharlto Copley,144
6670,Eli Roth,Eli Roth,Keanu Reeves,98
6671,Ron Howard,Charles Leavitt,Chris Hemsworth,78
6672,Bryan Buckley,Melissa Rauch,Melissa Rauch,33
6673,Nancy Meyers,Nancy Meyers,Robert De Niro,43
6674,Francis Lawrence,Peter Craig,Jennifer Lawrence,121
6675,Baltasar Kormákur,William Nicholson,Jason Clarke,111
6676,Michael Mann,Morgan Davis Foehl,Chris Hemsworth,71
6677,Paul Feig,Paul Feig,Melissa McCarthy,91
6678,Josh Trank,Jeremy Slater,Miles Teller,106
6679,Christopher McQuarrie,Bruce Geller,Tom Cruise,149
6680,M. Night Shyamalan,M. Night Shyamalan,Olivia DeJonge,33
6681,John Francis Daley,Jonathan Goldstein,Ed Helms,64
6682,Ryan Coogler,Ryan Coogler,Michael B. Jordan,137
6683,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,51
6684,Scott Cooper,Mark Mallouk,Johnny Depp,119
6685,Glenn Ficarra,Glenn Ficarra,Will Smith,115
6686,Tim Johnson,Tom J. Astle,Jim Parsons,56
6687,Lana Wachowski,Lilly Wachowski,Channing Tatum,75
6688,Marc Abraham,Marc Abraham,Tom Hiddleston,47
6689,Kyle Balda,Brian Lynch,Sandra Bullock,99
6690,Elizabeth Banks,Kay Cannon,Anna Kendrick,136
6691,Brad Peyton,Carlton Cuse,Dwayne Johnson,26
6692,Judd Apatow,Amy Schumer,Amy Schumer,144
6693,Brad Bird,Damon Lindelof,George Clooney,145
6694,Steven Spielberg,Matt Charman,Tom Hanks,101
6695,Tom Hooper,Lucinda Coxon,Eddie Redmayne,88
6696,Robert Schwentke,Brian Duffield,Shailene Woodley,29
6697,F. Gary Gray,Jonathan Herman,O'Shea Jackson Jr.,144
6698,Todd Haynes,Phyllis Nagy,Cate Blanchett,130
6699,John Erick Dowdle,John Erick Dowdle,Lake Bell,121
6700,Rob Cohen,Barbara Curry,Jennifer Lopez,79
6701,Antoine Fuqua,Kurt Sutter,Jake Gyllenhaal,129
6702,Jocelyn Moorhouse,Rosalie Ham,Kate Winslet,100
6703,Wes Ball,T.S. Nowlin,Dylan O'Brien,75
6704,Sanyuan Peng,Sanyuan Peng,Andy Lau,64
6705,Breck Eisner,Cory Goodman,Vin Diesel,109
6706,Jeremy Saulnier,Jeremy Saulnier,Anton Yelchin,39
6707,John Wells,Steven Knight,Bradley Cooper,119
6708,Peter Sohn,Bob Peterson,Jeffrey Wright,98
6709,Thomas Vinterberg,Thomas Hardy,Carey Mulligan,128
6710,Karyn Kusama,Phil Hay,Logan Marshall-Green,50
6711,Joel Edgerton,Joel Edgerton,Jason Bateman,58
6712,Ericson Core,Kurt Wimmer,Edgar Ramírez,69
6713,Etan Cohen,Jay Martel,Will Ferrell,148
6714,Aleksander Bach,Skip Woods,Rupert Friend,31
6715,Doug Ellin,Doug Ellin,Adrian Grenier,48
6716,Danny Boyle,Aaron Sorkin,Michael Fassbender,70
6717,Christopher Landon,Carrie Lee Wilson,Tye Sheridan,35
6718,Ilya Naishuller,Ilya Naishuller,Sharlto Copley,113
6719,David O. Russell,David O. Russell,Jennifer Lawrence,75
6720,Jared Hess,Chris Bowman,Zach Galifianakis,144
6721,John Crowley,Nick Hornby,Saoirse Ronan,23
