Id,Director,writer,actor,crew
2082,Kenny Ortega,Bob Tzudiker,Christian Bale,42
2083,Spike Lee,Alex Haley,Denzel Washington,71
2084,Phillip Noyce,Tom Clancy,Harrison Ford,52
2085,Peter Jackson,Stephen Sinclair,Timothy Balme,112
2086,Katt Shea,Melissa Goddard,Drew Barrymore,72
2087,Phil Alden Robinson,Phil Alden Robinson,Robert Redford,138
2088,Brett Leonard,Stephen King,Jeff Fahey,134
2089,Robert Altman,Michael Tolkin,Tim Robbins,112
2090,Les Mayfield,George Zaloom,Sean Astin,55
2091,Ron Shelton,Ron Shelton,Wesley Snipes,118
2092,Richard Donner,Jeffrey Boam,Mel Gibson,68
2093,Edward James Olmos,Floyd Mutrux,Edward James Olmos,18
2094,Robert Rodriguez,Robert Rodriguez,Carlos Gallardo,36
2095,Roman Polanski,Pascal Bruckner,Hugh Grant,69
2096,Mary Lambert,Richard Outten,Edward Furlong,120
2097,Abel Ferrara,Zoë Lund,Harvey Keitel,34
2098,Cameron Crowe,Cameron Crowe,Bridget Fonda,69
2099,Bill Kroyer,Jim Cox,Samantha Mathis,127
2100,Frank Oz,Mark Stein,Steve Martin,97
2101,Robert Mandel,Dick Wolf,Brendan Fraser,117
2102,Danny DeVito,David Mamet,Jack Nicholson,67
2103,Ernest R. Dickerson,Ernest R. Dickerson,Omar Epps,76
2104,Louis Malle,David Hare,Jeremy Irons,110
2105,Steve Miner,J.J. Abrams,Mel Gibson,141
2106,Rémy Belvaux,Rémy Belvaux,Benoît Poelvoorde,125
2107,Jon Turteltaub,Kenny Kim,Victor Wong,86
2108,Anthony Hickox,Peter Atkins,Terry Farrell,41
2109,Uli Edel,Brad Mirman,Madonna,95
2110,Randal Kleiser,Stuart Gordon,Rick Moranis,66
2111,Thom Eberhardt,John Dwyer,Kurt Russell,141
2112,Paul Michael Glaser,Tony Gilroy,D.B. Sweeney,65
2113,Kevin Hooks,Stewart Raffill,Wesley Snipes,96
2114,Bigas Luna,Cuca Canals,Penélope Cruz,65
2115,David Price,A L Katz,Terence Knox,83
2116,Sidney J. Furie,Curtis Burch,Rodney Dangerfield,24
2117,Richard Donner,David Mickey Evans,Lorraine Bracco,145
2118,Baz Luhrmann,Baz Luhrmann,Paul Mercurio,53
2119,Brian De Palma,Brian De Palma,John Lithgow,82
2120,Sally Potter,Virginia Woolf,Tilda Swinton,149
2121,Rowdy Herrington,Djordje Milicevic,James Marshall,93
2122,Tony Maylam,Gary Scott Thompson,Rutger Hauer,95
2123,Phil Roman,Dennis Marks,Richard Kind,68
2124,Barry Levinson,Valerie Curtin,Robin Williams,87
2125,Geoffrey Wright,Geoffrey Wright,Russell Crowe,78
