Id,budget,gross,,
735,9000000,16116878,,
736,12500000,15057465,,
737,1000000,10499694,,
738,,24468550,,
739,,393825,,
740,12000000,17130087,,
741,3000000,7196872,,
742,1250000,2492088,,
743,,3852271,,
744,15000000,10631333,,
745,16000000,8645411,,
746,,8349284,,
747,,4122748,,
748,,,,
749,,3333306,,
750,,199108,,
751,,14100000,,
752,10000000,17536256,,
753,28000000,358574,,
754,,10179000,,
755,,390659,,
756,,10627754,,
757,,2278264,,
758,,836156,,
759,,14972297,,
760,7000000,20345361,,
761,3000000,5101,,
762,,5730596,,
763,,9085049,,
764,,1878561,,
765,,5622787,,
766,50000000,23717291,,
767,,8630068,,
768,10000000,25627836,,
769,,6090497,,
770,,849915,,
771,22000000,8489518,,
772,13000000,3558669,,
773,,441137,,
774,2000000,4116395,,
775,10000000,6148000,,
776,22000000,5111099,,
777,,7491903,,
778,2410000,10755447,,
779,5000000,981817,,
780,7000000,4349446,,
781,,3594997,,
782,,69832,,
783,3000000,11052713,,
784,2000000,7660857,,
785,,1918117,,
786,,5349607,,
787,,35336,,
788,,34751,,
789,,1304192,,
790,15000000,3360800,,
791,,2564278,,
792,,1057064,,
793,2000000,22934622,,
794,,385687,,
795,,220038,,
796,8000000,8402424,,
797,,2174622,,
798,,1256862,,
799,,13677222,,
800,,,,
801,7000000,29815,,
802,,421201,,
803,7000000,618847,,
804,,147070,,
805,,3393807,,
806,,305102,,
807,,1215923,,
808,,750000,,
809,,2685453,,
810,,1299985,,
811,,12531831,,
812,,4889971,,
813,5000000,,,
814,,2052466,,
815,,,,
816,2000000,2864844,,
817,,,,
818,,1381091,,
819,,,,
820,,561548,,
821,,2357,,
822,,,,
823,,2507995,,
824,,372438,,
825,,345280,,
826,,,,
827,,2156772,,
828,,,,
829,,,,
830,,,,
831,,,,
832,,542420,,
833,,,,
834,,202428,,
835,,6565359,,
836,,,,
837,,,,
838,,,,
839,,,,
840,,,,
841,,,,
842,,,,
843,,,,
844,15000000,357288178,,
845,18500000,131060248,,
846,8000000,52287414,,
847,6000000,70720215,,
848,8800000,328203506,,
849,25000000,13915874,,
850,16000000,5900712,,
851,25000000,11100577,,
852,9000000,40479480,,
853,6000000,138545632,,
854,6000000,8618766,,
855,15000000,8621783,,
856,37000000,37962774,,
857,15000000,60629159,,
858,25000000,38983045,,
859,25000000,14302779,,
860,,115103979,,
861,1900000,4600000,,
862,17000000,6735922,,
863,25000000,79817937,,
864,25000000,109713132,,
865,15000000,40697761,,
866,12000000,17768900,,
867,,7153487,,
868,2700000,3500000,,
869,13800000,52293982,,
870,6000000,28607524,,
871,15000000,42724017,,
872,9000000,18564613,,
873,25000000,49042224,,
874,18000000,41488348,,
875,24500000,17502499,,
876,,1777378,,
877,,15448384,,
878,25000000,39246734,,
879,10000000,7433663,,
880,6000000,8200000,,
881,3000000,19472057,,
882,10000000,54999651,,
883,11000000,91258000,,
884,,2016851,,
885,8500000,38702310,,
886,2000000,13167232,,
887,4700000,8025872,,
888,,24159872,,
889,,13431806,,
890,4500000,1261000,,
891,4000000,2850707,,
892,111000,609939,,
893,,5794184,,
894,,43579163,,
895,5000000,591366,,
896,,167292,,
897,6000000,5844868,,
898,,2015882,,
899,,84542002,,
900,18000000,9697739,,
901,8500000,16209459,,
902,6400000,40084041,,
903,14000000,38625550,,
904,13000000,71624879,,
905,6000000,5860601,,
906,,26285544,,
907,1100000,5450815,,
908,6500000,2347000,,
909,,7177431,,
910,7000000,8362969,,
911,20000000,25314189,,
912,,5839031,,
913,15000000,1953732,,
914,175000,7137502,,
915,,38500726,,
916,18000000,1305114,,
917,,27820000,,
918,1100000,1504286,,
919,19000000,40996665,,
920,,58731,,
921,,14481606,,
922,13000000,3751699,,
923,,13299749,,
924,,5478,,
925,10500000,31853080,,
926,12000000,4884663,,
927,,286126,,
928,14000000,62134225,,
929,5000000,12947763,,
930,8500000,17685307,,
931,40000000,1641825,,
932,14000000,12303904,,
933,8500000,277646,,
934,15000000,12308521,,
935,,3940542,,
936,,916172,,
937,12000000,15945534,,
938,10000000,20603715,,
939,10000000,4711220,,
940,,,,
941,13000000,8475466,,
942,25000000,1579260,,
943,18000000,3900000,,
944,,6797218,,
945,,,,
946,,29844101,,
947,,4636169,,
948,18000000,36611610,,
949,,2545459,,
950,,5274,,
951,6000000,9947631,,
952,,8988731,,
953,,4940939,,
954,,2510433,,
955,8700000,4865912,,
956,3300000,4941117,,
957,,32324557,,
958,,320256,,
959,,7634909,,
960,,5186646,,
961,,6637565,,
962,,13418091,,
963,,2556361,,
964,13000000,8033397,,
965,,63137,,
966,10000000,21458229,,
967,,4601256,,
968,12000000,7817314,,
969,8000000,11949484,,
970,,604849,,
971,2000000,7369373,,
972,,1476356,,
973,40000000,93151591,,
974,,1720450,,
975,14000000,18034150,,
976,,7555000,,
977,,4845724,,
978,15000000,25147055,,
979,20000000,22905522,,
980,,10090429,,
981,,,,
982,,2147228,,
983,,546904,,
984,,930211,,
985,,2750741,,
986,4000000,4679650,,
987,17000000,2793214,,
988,,14205021,,
989,,,,
990,,5099316,,
991,,5715174,,
992,17000000,2315683,,
993,16000000,3800000,,
994,,6029824,,
995,,140980,,
996,,4781448,,
997,,,,
998,,1131399,,
999,,278623,,
1000,,1915792,,
1001,,78068,,
1002,,275000,,
1003,18000000,11957943,,
1004,,,,
1005,,277405,,
1006,,837623,,
1007,,3272593,,
1008,10000000,4743287,,
1009,,,,
1010,,,,
1011,25000000,4007250,,
1012,,5958456,,
1013,,2669366,,
1014,,441863,,
1015,,1943751,,
1016,,3136701,,
1017,10000000,6947787,,
1018,,4079895,,
1019,18000000,2295500,,
1020,,925952,,
1021,,502237,,
1022,,2390525,,
1023,,1500000,,
1024,,8540346,,
1025,,601451,,
1026,3401376,3388020,,
1027,,416393,,
1028,,1254040,,
1029,600000,,,
1030,,781727,,
1031,,,,
1032,,6408791,,
1033,,583800,,
1034,,2497233,,
1035,1500000,,,
1036,,8736,,
1037,,2995527,,
1038,2000000,1301121,,
1039,,512403,,
1040,,563358,,
1041,,,,
1042,,,,
1043,,,,
1044,16000000,30902642,,
1045,,32388898,,
1046,30000000,46357676,,
1047,15000000,98268458,,
1048,13000000,53424681,,
1049,6000000,214577242,,
1050,7000000,34368475,,
1051,25000000,76270454,,
1052,22700000,38119483,,
1053,6000000,29180280,,
1054,15000000,120207127,,
1055,5000000,3369307,,
1056,6000000,42721196,,
1057,22000000,17336370,,
1058,14000000,320145693,,
1059,,14575193,,
1060,35000000,22238696,,
1061,15000000,35509515,,
1062,22000000,63766510,,
1063,,18553948,,
1064,27000000,38122105,,
1065,10500000,25205460,,
1066,17000000,17186348,,
1067,15000000,80642217,,
1068,23000000,51881013,,
1069,15000000,43848069,,
1070,13000000,123922370,,
1071,4500000,44793222,,
1072,30000000,49530280,,
1073,,31623833,,
1074,22000000,26713187,,
1075,28000000,299965036,,
1076,17000000,15681020,,
1077,12000000,110996879,,
1078,,1628359,,
1079,3600000,5923798,,
1080,,35659098,,
1081,27000000,25893810,,
1082,40000000,51186259,,
1083,25000000,16057580,,
1084,,43993869,,
1085,,12396383,,
1086,11000000,167780960,,
1087,6500000,54215416,,
1088,,30063289,,
1089,12000000,3769990,,
1090,3000000,14182492,,
1091,,3404057,,
1092,,2642567,,
1093,20000000,67331309,,
1094,10000000,49998613,,
1095,3500000,14000000,,
1096,,28061343,,
1097,,2488740,,
1098,,174380,,
1099,,15151736,,
1100,25000000,65088797,,
1101,12000000,40050884,,
1102,20000000,66673516,,
1103,14000000,57915972,,
1104,,548696,,
1105,3000000,7888703,,
1106,,26712476,,
1107,,1083486,,
1108,,13539458,,
1109,3500000,23509382,,
1110,,1028679,,
1111,,13839404,,
1112,10000000,,,
1113,5000000,9747988,,
1114,8300000,12640385,,
1115,3000000,3221568,,
1116,3000000,9868521,,
1117,18000000,39337581,,
1118,,4575613,,
1119,,124167,,
1120,,10021120,,
1121,8000000,2877571,,
1122,55000000,14375181,,
1123,5000000,858250,,
1124,,65673233,,
1125,,4637920,,
1126,1000000,1576615,,
1127,16000000,14792779,,
1128,,3731829,,
1129,18000000,21589395,,
1130,6000000,3685862,,
1131,4000000,800000,,
1132,,3832228,,
1133,13000000,18753438,,
1134,,7800000,,
1135,5000000,6880310,,
1136,,2585639,,
1137,29000000,5899797,,
1138,,519596,,
1139,5000000,6075793,,
1140,15000000,13290368,,
1141,,13110903,,
1142,12800000,10278549,,
1143,,17355263,,
1144,27000000,7393346,,
1145,17000000,7305209,,
1146,22000000,11307844,,
1147,4000000,1680358,,
1148,,2063688,,
1149,14500000,18782400,,
1150,6000000,12423831,,
1151,,6804312,,
1152,,2700000,,
1153,,2683519,,
1154,7000000,7019441,,
1155,,300859,,
1156,13000000,4572845,,
1157,,4278150,,
1158,8000000,1988962,,
1159,,1749956,,
1160,,873903,,
1161,14000000,20240502,,
1162,,,,
1163,,52864741,,
1164,10500000,34377585,,
1165,3520000,562187,,
1166,11000000,25411386,,
1167,,1733017,,
1168,,10489617,,
1169,4000000,345704,,
1170,,3283832,,
1171,,370698,,
1172,5000000,1119112,,
1173,,1930001,,
1174,14000000,459824,,
1175,,1338198,,
1176,,1672927,,
1177,11000000,19734940,,
1178,350000,4000000,,
1179,,1083282,,
1180,6000000,1432687,,
1181,4500000,406881,,
1182,7500000,796368,,
1183,9000000,5406879,,
1184,100000,,,
1185,75000,,,
1186,2000000,1083395,,
1187,,1149470,,
1188,,12046526,,
1189,,700000,,
1190,24000000,4615255,,
1191,,824024,,
1192,5300000,3107551,,
1193,,,,
1194,,4215849,,
1195,100000,5228617,,
1196,,4370078,,
1197,,5262047,,
1198,25000000,30950002,,
1199,,22039,,
1200,,,,
1201,,1025762,,
1202,5800000,,,
1203,10000000,3060858,,
1204,,1584970,,
1205,,1189709,,
1206,1000000,210200,,
1207,,20419446,,
1208,,316199,,
1209,,2413427,,
1210,,,,
1211,,3922273,,
1212,,1262091,,
1213,5500000,969205,,
1214,19000000,2228951,,
1215,12000000,5669831,,
1216,19897678,1744164,,
1217,,,,
1218,,1539000,,
1219,,1025228,,
1220,,213901,,
1221,,,,
1222,,169785,,
1223,7000000,999382,,
1224,15000000,5711976,,
1225,,138608,,
1226,,225358,,
1227,,,,
1228,,949451,,
1229,,10348437,,
1230,,,,
1231,10000000,486434,,
1232,,2201428,,
1233,,16337355,,
1234,,2407024,,
1235,,901364,,
1236,,2189047,,
1237,4000000,743445,,
1238,,9518342,,
1239,,4546244,,
1240,,285885,,
1241,10000000,989033,,
1242,,895904,,
1243,,1236848,,
1244,28000000,141603197,,
1245,30000000,81613606,,
1246,15000000,74270074,,
1247,18000000,151927281,,
1248,25000000,354825435,,
1249,7000000,2847941,,
1250,4000000,13008928,,
1251,35000000,57269863,,
1252,14000000,239606210,,
1253,3000000,1163969,,
1254,39000000,288752301,,
1255,70000000,329803958,,
1256,6000000,12793213,,
1257,,2562351,,
1258,5000000,13019063,,
1259,15000000,34603943,,
1260,9000000,44196684,,
1261,15000000,216614388,,
1262,12000000,78756177,,
1263,24000000,43455230,,
1264,20000000,171504781,,
1265,3700000,30550920,,
1266,13000000,45661556,,
1267,7500000,62493712,,
1268,28000000,102953112,,
1269,1100000,11806119,,
1270,7000000,8865702,,
1271,10000000,21486757,,
1272,12500000,84460846,,
1273,63000000,189015611,,
1274,13000000,32078318,,
1275,14000000,34670720,,
1276,10000000,3916303,,
1277,2000000,6673032,,
1278,13000000,8038508,,
1279,7000000,50888729,,
1280,,3975244,,
1281,17000000,10006806,,
1282,19000000,8247943,,
1283,31000000,74151346,,
1284,,1547397,,
1285,20000000,57041866,,
1286,29000000,34994648,,
1287,13000000,49369899,,
1288,,32632093,,
1289,46630000,8083123,,
1290,2000000,,,
1291,5000000,17768757,,
1292,7500000,5596267,,
1293,13000000,6424112,,
1294,7500000,18869631,,
1295,32000000,60329001,,
1296,31000000,37903295,,
1297,3000000,13030057,,
1298,3500000,4385516,,
1299,,42039085,,
1300,2800000,19170001,,
1301,8000000,22433275,,
1302,3000000,12090735,,
1303,20000000,17637950,,
1304,6000000,46616067,,
1305,20000000,13854000,,
1306,15000000,6908797,,
1307,2500000,1189315,,
1308,17000000,8578231,,
1309,2000000,725131,,
1310,6200000,9205924,,
1311,5000000,3569939,,
1312,6000000,5680515,,
1313,,13994920,,
1314,1100000,671382,,
1315,700000,7263129,,
1316,20000000,16031707,,
1317,,19510371,,
1318,23000000,41292551,,
1319,1200000,3109904,,
1320,20000000,51684798,,
1321,5000000,6957975,,
